,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
Fz,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
F3,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
F7,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
FT9,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
FC5,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
FC1,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
C3,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
T7,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
TP9,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.0,0.0,0.0,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.01675041876046901,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.015912897822445562,0.017587939698492462,0.017587939698492462,0.0,0.017587939698492462,0.017587939698492462,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.018425460636515914,0.017587939698492462,0.017587939698492462,0.01675041876046901
