,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.0,0.0,0.008820798514391829,0.005571030640668524,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.016713091922005572,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.006963788300835654,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613
CP1,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.0,0.0,0.008820798514391829,0.005571030640668524,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.016713091922005572,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.006963788300835654,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613
Pz,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0,0.0,0.008593396653098146,0.005427408412483039,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.016734509271822705,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0067842605156037995,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293
P3,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.0,0.0,0.008820798514391829,0.005571030640668524,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.016713091922005572,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.006963788300835654,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613
P7,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0,0.0,0.008593396653098146,0.005427408412483039,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.016734509271822705,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0067842605156037995,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293
O1,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.0,0.0,0.008820798514391829,0.005571030640668524,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.016713091922005572,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.006963788300835654,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613
Oz,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0,0.0,0.008593396653098146,0.005427408412483039,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.016734509271822705,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0067842605156037995,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.0,0.0,0.015957446808510637,0.010638297872340425,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.013297872340425532,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674,0.016843971631205674
CP6,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.0,0.0,0.016689847009735744,0.015299026425591099,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744,0.016689847009735744
CP2,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.0,0.0,0.008820798514391829,0.005571030640668524,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.016713091922005572,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.006963788300835654,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613,0.017177344475394613
Cz,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0,0.0,0.008593396653098146,0.005427408412483039,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.016734509271822705,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0067842605156037995,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293
C4,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0,0.0,0.008593396653098146,0.005427408412483039,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.016734509271822705,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0067842605156037995,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293
T8,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0,0.0,0.008593396653098146,0.005427408412483039,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.016734509271822705,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.0067842605156037995,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293,0.017186793306196293
