,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
CP1,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
Pz,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
P3,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
P7,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
O1,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
Oz,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
CP6,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
CP2,0.01593625498007968,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.01593625498007968,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.01593625498007968,0.01593625498007968,0.017264276228419653,0.0,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.017264276228419653,0.01593625498007968,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.01593625498007968,0.017264276228419653,0.017264276228419653,0.017264276228419653,0.01593625498007968,0.01593625498007968,0.01593625498007968
Cz,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
C4,0.016147635524798153,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.016147635524798153,0.014994232987312572,0.01730103806228374,0.016147635524798153,0.016147635524798153,0.016147635524798153,0.01730103806228374,0.016147635524798153,0.016147635524798153,0.016147635524798153,0.01730103806228374,0.0,0.016147635524798153,0.01730103806228374,0.014994232987312572,0.01730103806228374,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.01730103806228374,0.016147635524798153,0.014994232987312572,0.01730103806228374,0.014994232987312572,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.014994232987312572,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.016147635524798153,0.01730103806228374,0.01730103806228374,0.01730103806228374,0.016147635524798153,0.014994232987312572,0.016147635524798153
T8,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
FT10,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.0,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.015990159901599015,0.017220172201722016,0.017220172201722016,0.017220172201722016,0.015990159901599015,0.015990159901599015,0.015990159901599015
