,Fz,F3,F7,FT9,FC5,FC1,C3,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.05813953488372093,0.0,0.011627906976744186,0.005813953488372093,0.011627906976744186,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.06395348837209303,0.0,0.0,0.005813953488372093,0.023255813953488372,0.0,0.0,0.03488372093023256,0.01744186046511628,0.0,0.0,0.0,0.06395348837209303,0.01744186046511628,0.0,0.0,0.0,0.05232558139534884,0.06395348837209303,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.05232558139534884,0.0,0.06395348837209303,0.0,0.0,0.0,0.06395348837209303,0.0,0.0,0.06395348837209303,0.06976744186046512,0.06976744186046512,0.06395348837209303,0.0,0.005813953488372093,0.0,0.046511627906976744,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.046875,0.0,0.03125,0.015625,0.03125,0.0,0.0,0.0,0.046875,0.0,0.0,0.046875,0.0,0.0,0.015625,0.046875,0.0,0.0,0.046875,0.046875,0.0,0.0,0.0,0.046875,0.046875,0.0,0.0,0.0,0.046875,0.046875,0.0,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.046875,0.0,0.0,0.0,0.046875,0.0,0.0,0.046875,0.046875,0.046875,0.046875,0.0,0.015625,0.0,0.046875,0.0
C3,0.0,0.0,0.0,0.044444444444444446,0.0,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.044444444444444446,0.0,0.0,0.022222222222222223,0.044444444444444446,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.0,0.022222222222222223,0.0,0.044444444444444446,0.0
CP5,0.0,0.0,0.0,0.046875,0.0,0.03125,0.015625,0.03125,0.0,0.0,0.0,0.046875,0.0,0.0,0.046875,0.0,0.0,0.015625,0.046875,0.0,0.0,0.046875,0.046875,0.0,0.0,0.0,0.046875,0.046875,0.0,0.0,0.0,0.046875,0.046875,0.0,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.046875,0.0,0.0,0.0,0.046875,0.0,0.0,0.046875,0.046875,0.046875,0.046875,0.0,0.015625,0.0,0.046875,0.0
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.1038961038961039,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.1038961038961039,0.1038961038961039,0.0,0.0,0.1038961038961039,0.1038961038961039,0.1038961038961039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.1038961038961039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
